Run 0 

Iteration 0: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2140459 ;    
Iteration 1: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 850000801269 ;    
Iteration 2: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 870000787402 ;    
Iteration 3: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 23 ;    value_best_iteration = 870000756747 ;    
Iteration 4: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 840000715849 ;    
Iteration 5: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 28 ;    value_best_iteration = 880000755550 ;    
Iteration 6: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 28 ;    value_best_iteration = 830000743951 ;    
Iteration 7: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 880000797803 ;    
Iteration 8: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 15 ;    value_best_iteration = 890000755705 ;    
Iteration 9: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 7 ;    value_best_iteration = 890000606958 ;    
Iteration 10: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 900000747131 ;    
Iteration 11: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 19 ;    value_best_iteration = 850000837306 ;    
Iteration 12: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 880000690396 ;    
Iteration 13: value_global_best = 2097831 ;    number_particle_minimum_personal_best = 24 ;    value_minimum_personal_best = 2097831 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 840000680870 ;    
