Run 0 

Iteration 0: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 870000726002 ;    
Iteration 1: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 880000769105 ;    
Iteration 2: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 34 ;    value_best_iteration = 850000758428 ;    
Iteration 3: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 19 ;    value_best_iteration = 890000673324 ;    
Iteration 4: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 13 ;    value_best_iteration = 900000628767 ;    
Iteration 5: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 19 ;    value_best_iteration = 840000732413 ;    
Iteration 6: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 860000825078 ;    
Iteration 7: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 28 ;    value_best_iteration = 910000823268 ;    
Iteration 8: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 33 ;    value_best_iteration = 910000588372 ;    
Iteration 9: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 900000791213 ;    
Iteration 10: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 38 ;    value_best_iteration = 870000822646 ;    
Iteration 11: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 870000680642 ;    
Iteration 12: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 35 ;    value_best_iteration = 890000712805 ;    
Iteration 13: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 860000716573 ;    
Iteration 14: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 870000713383 ;    
Iteration 15: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 850000779744 ;    
Iteration 16: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 880000790661 ;    
Iteration 17: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 33 ;    value_best_iteration = 860000774087 ;    
Iteration 18: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 910000772415 ;    
Iteration 19: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 990000710868 ;    
Iteration 20: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 900000791572 ;    
Iteration 21: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 880000737536 ;    
Iteration 22: value_global_best = 2135535 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 2135535 ;    number_particle_minimum_best_iteration = 21 ;    value_best_iteration = 890000823812 ;    
