Run 0 

Iteration 0: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 1760001152541 ;    
Iteration 1: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 21 ;    value_best_iteration = 1740001328473 ;    
Iteration 2: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 1720001189772 ;    
Iteration 3: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 1710001320248 ;    
Iteration 4: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 11 ;    value_best_iteration = 1720001338880 ;    
Iteration 5: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1730001253970 ;    
Iteration 6: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 1670001247972 ;    
Iteration 7: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1690001282866 ;    
Iteration 8: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 11 ;    value_best_iteration = 1620001279412 ;    
Iteration 9: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 24 ;    value_best_iteration = 1690001240371 ;    
Iteration 10: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 37 ;    value_best_iteration = 1760001109605 ;    
Iteration 11: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 35 ;    value_best_iteration = 1720001299506 ;    
Iteration 12: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 14 ;    value_best_iteration = 1740001254078 ;    
Iteration 13: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 39 ;    value_best_iteration = 1730001382344 ;    
Iteration 14: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 25 ;    value_best_iteration = 1730001245347 ;    
Iteration 15: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1740001151367 ;    
Iteration 16: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 7 ;    value_best_iteration = 1720001222406 ;    
Iteration 17: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1860001050154 ;    
Iteration 18: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 7 ;    value_best_iteration = 1720001189926 ;    
Iteration 19: value_global_best = 3987548 ;    number_particle_minimum_personal_best = 12 ;    value_minimum_personal_best = 3987548 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1880001069690 ;    
