Run 0 

Iteration 0: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 1810001326408 ;    
Iteration 1: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 1760001309051 ;    
Iteration 2: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 1740001235270 ;    
Iteration 3: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 17 ;    value_best_iteration = 1760001391530 ;    
Iteration 4: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 1780001298496 ;    
Iteration 5: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 1640001489215 ;    
Iteration 6: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 1770001287029 ;    
Iteration 7: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1920001224410 ;    
Iteration 8: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 13 ;    value_best_iteration = 1820001119952 ;    
Iteration 9: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 15 ;    value_best_iteration = 1820001215902 ;    
Iteration 10: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1800001258245 ;    
Iteration 11: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 1 ;    value_best_iteration = 1700001271831 ;    
Iteration 12: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 1720001349633 ;    
Iteration 13: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 15 ;    value_best_iteration = 1740001294969 ;    
Iteration 14: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1960001112800 ;    
Iteration 15: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 1840001267027 ;    
Iteration 16: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 1760001234221 ;    
Iteration 17: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 28 ;    value_best_iteration = 1700001355674 ;    
Iteration 18: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 24 ;    value_best_iteration = 1780001292328 ;    
Iteration 19: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 1830001096011 ;    
Iteration 20: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 14 ;    value_best_iteration = 1710001341989 ;    
Iteration 21: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1840001238260 ;    
Iteration 22: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 11 ;    value_best_iteration = 1750001365355 ;    
Iteration 23: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 36 ;    value_best_iteration = 1820001187942 ;    
Iteration 24: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1830001405763 ;    
Iteration 25: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1850001190288 ;    
Iteration 26: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 36 ;    value_best_iteration = 1810001214763 ;    
Iteration 27: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 1750001440306 ;    
Iteration 28: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1930001205144 ;    
Iteration 29: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 1730001433801 ;    
Iteration 30: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1760001255618 ;    
Iteration 31: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1760001255618 ;    
Iteration 32: value_global_best = 3985115 ;    number_particle_minimum_personal_best = 29 ;    value_minimum_personal_best = 3985115 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1760001347557 ;    
