Run 0 

Iteration 0: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 23 ;    value_best_iteration = 2530001794925 ;    
Iteration 1: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 2610001943441 ;    
Iteration 2: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2760001823902 ;    
Iteration 3: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 27 ;    value_best_iteration = 2620002125318 ;    
Iteration 4: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 18 ;    value_best_iteration = 2670001858699 ;    
Iteration 5: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 11 ;    value_best_iteration = 2690001968175 ;    
Iteration 6: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 9 ;    value_best_iteration = 2680001776183 ;    
Iteration 7: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 17 ;    value_best_iteration = 2640001820807 ;    
Iteration 8: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 2 ;    value_best_iteration = 2640001790608 ;    
Iteration 9: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 34 ;    value_best_iteration = 2640001783939 ;    
Iteration 10: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 2670001835272 ;    
Iteration 11: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 2640001797513 ;    
Iteration 12: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2710002000504 ;    
Iteration 13: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 29 ;    value_best_iteration = 2610002029380 ;    
Iteration 14: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2920001549596 ;    
Iteration 15: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 24 ;    value_best_iteration = 2680001907536 ;    
Iteration 16: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 12 ;    value_best_iteration = 2710001907882 ;    
Iteration 17: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 33 ;    value_best_iteration = 2690001958517 ;    
Iteration 18: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2850001900409 ;    
Iteration 19: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 2610002037817 ;    
Iteration 20: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 2620001951407 ;    
Iteration 21: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 2720001883722 ;    
Iteration 22: value_global_best = 5900921 ;    number_particle_minimum_personal_best = 31 ;    value_minimum_personal_best = 5900921 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 2570001956895 ;    
