Run 0 

Iteration 0: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 19 ;    value_best_iteration = 1800001239962 ;    
Iteration 1: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 11 ;    value_best_iteration = 1800001179514 ;    
Iteration 2: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 23 ;    value_best_iteration = 1750001275213 ;    
Iteration 3: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 1760001216713 ;    
Iteration 4: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 18 ;    value_best_iteration = 1740001071031 ;    
Iteration 5: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 34 ;    value_best_iteration = 1780001001925 ;    
Iteration 6: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 1740001471265 ;    
Iteration 7: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 1740001280181 ;    
Iteration 8: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 13 ;    value_best_iteration = 1760001296255 ;    
Iteration 9: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 1770001307250 ;    
Iteration 10: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 31 ;    value_best_iteration = 1770001347239 ;    
Iteration 11: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 1740001362242 ;    
Iteration 12: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1790001231635 ;    
Iteration 13: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 38 ;    value_best_iteration = 1700001241787 ;    
Iteration 14: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1910001084369 ;    
Iteration 15: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1880001183455 ;    
Iteration 16: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1820001320156 ;    
Iteration 17: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 31 ;    value_best_iteration = 1760001275591 ;    
Iteration 18: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 26 ;    value_best_iteration = 1710001232941 ;    
Iteration 19: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 18 ;    value_best_iteration = 1660001369398 ;    
Iteration 20: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 11 ;    value_best_iteration = 1740001284025 ;    
Iteration 21: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1730001263897 ;    
Iteration 22: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 1720001225980 ;    
Iteration 23: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1870001003527 ;    
Iteration 24: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1970001093654 ;    
Iteration 25: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 23 ;    value_best_iteration = 1720001359098 ;    
Iteration 26: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 1 ;    value_best_iteration = 1800001292365 ;    
Iteration 27: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 1730001315579 ;    
Iteration 28: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 1 ;    value_best_iteration = 1680001331381 ;    
Iteration 29: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1900001249797 ;    
Iteration 30: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 19 ;    value_best_iteration = 1700001451846 ;    
Iteration 31: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 20 ;    value_best_iteration = 1750001320750 ;    
Iteration 32: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1970001132074 ;    
Iteration 33: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 39 ;    value_best_iteration = 1790001350927 ;    
Iteration 34: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 31 ;    value_best_iteration = 1700001411094 ;    
Iteration 35: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 1710001338557 ;    
Iteration 36: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 1770001235173 ;    
Iteration 37: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1780001293843 ;    
Iteration 38: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1840001318954 ;    
Iteration 39: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 20 ;    value_best_iteration = 1730001317916 ;    
Iteration 40: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1840001062610 ;    
Iteration 41: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1850001168103 ;    
Iteration 42: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 1680001188949 ;    
Iteration 43: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1900001278308 ;    
Iteration 44: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1850001234686 ;    
Iteration 45: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1870001104966 ;    
Iteration 46: value_global_best = 3989017 ;    number_particle_minimum_personal_best = 33 ;    value_minimum_personal_best = 3989017 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1980001134524 ;    
