Run 0 

Iteration 0: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 6136809 ;    
Iteration 1: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 2670001695449 ;    
Iteration 2: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2570002072529 ;    
Iteration 3: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2590001604441 ;    
Iteration 4: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 12 ;    value_best_iteration = 2550001804118 ;    
Iteration 5: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 7 ;    value_best_iteration = 2590001771111 ;    
Iteration 6: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 2570001878234 ;    
Iteration 7: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2660001696917 ;    
Iteration 8: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 31 ;    value_best_iteration = 2680001662296 ;    
Iteration 9: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 1 ;    value_best_iteration = 2660001669246 ;    
Iteration 10: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2660001752703 ;    
Iteration 11: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 2570001855745 ;    
Iteration 12: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 2620001657413 ;    
Iteration 13: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2730001652969 ;    
Iteration 14: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2610001629932 ;    
Iteration 15: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2750001624765 ;    
Iteration 16: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 35 ;    value_best_iteration = 2610001804172 ;    
Iteration 17: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2620001762874 ;    
Iteration 18: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2590001735110 ;    
Iteration 19: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2500001805645 ;    
Iteration 20: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2630001749944 ;    
Iteration 21: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2610001789319 ;    
Iteration 22: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2670001597835 ;    
Iteration 23: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2550001735379 ;    
Iteration 24: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2670001672469 ;    
Iteration 25: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 20 ;    value_best_iteration = 2670001580965 ;    
Iteration 26: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2670001672853 ;    
Iteration 27: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 15 ;    value_best_iteration = 2640001808342 ;    
Iteration 28: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 2580001844418 ;    
Iteration 29: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 2620001853816 ;    
Iteration 30: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 20 ;    value_best_iteration = 2640001605059 ;    
Iteration 31: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2800001648068 ;    
Iteration 32: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 2620001624127 ;    
Iteration 33: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2530001761690 ;    
Iteration 34: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 2540001834438 ;    
Iteration 35: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2580001766391 ;    
Iteration 36: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 7 ;    value_best_iteration = 2570001835490 ;    
Iteration 37: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2620001787917 ;    
Iteration 38: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2710001731017 ;    
Iteration 39: value_global_best = 5795373 ;    number_particle_minimum_personal_best = 27 ;    value_minimum_personal_best = 5795373 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2710001869834 ;    
