Run 0 

Iteration 0: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 33 ;    value_best_iteration = 860000793851 ;    
Iteration 1: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 920000759758 ;    
Iteration 2: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 38 ;    value_best_iteration = 890000746518 ;    
Iteration 3: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 860000733887 ;    
Iteration 4: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 34 ;    value_best_iteration = 870000685401 ;    
Iteration 5: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 880000737279 ;    
Iteration 6: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 860000616179 ;    
Iteration 7: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 1 ;    value_best_iteration = 890000704097 ;    
Iteration 8: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 920000599305 ;    
Iteration 9: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 19 ;    value_best_iteration = 820000727570 ;    
Iteration 10: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 850000663309 ;    
Iteration 11: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 1 ;    value_best_iteration = 880000822238 ;    
Iteration 12: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 20 ;    value_best_iteration = 870000810446 ;    
Iteration 13: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 34 ;    value_best_iteration = 860000694372 ;    
Iteration 14: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 32 ;    value_best_iteration = 860000684877 ;    
Iteration 15: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 27 ;    value_best_iteration = 890000675695 ;    
Iteration 16: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 930000619344 ;    
Iteration 17: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 2 ;    value_best_iteration = 870000777959 ;    
Iteration 18: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 29 ;    value_best_iteration = 830000723442 ;    
Iteration 19: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 880000693482 ;    
Iteration 20: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 970000643153 ;    
Iteration 21: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 28 ;    value_best_iteration = 860000680541 ;    
Iteration 22: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 20 ;    value_best_iteration = 820000854917 ;    
Iteration 23: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 38 ;    value_best_iteration = 870000685956 ;    
Iteration 24: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 29 ;    value_best_iteration = 820000758633 ;    
Iteration 25: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 12 ;    value_best_iteration = 840000778539 ;    
Iteration 26: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 980000592907 ;    
Iteration 27: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 980000548245 ;    
Iteration 28: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 890000686951 ;    
Iteration 29: value_global_best = 2032131 ;    number_particle_minimum_personal_best = 22 ;    value_minimum_personal_best = 2032131 ;    number_particle_minimum_best_iteration = 2 ;    value_best_iteration = 860000693777 ;    
