Run 0 

Iteration 0: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 1710001243789 ;    
Iteration 1: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 25 ;    value_best_iteration = 1560001109035 ;    
Iteration 2: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 1730001102382 ;    
Iteration 3: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1700001118424 ;    
Iteration 4: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1650001175668 ;    
Iteration 5: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 7 ;    value_best_iteration = 1730001274773 ;    
Iteration 6: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 1700001314404 ;    
Iteration 7: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 7 ;    value_best_iteration = 1670001243638 ;    
Iteration 8: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 18 ;    value_best_iteration = 1740001287927 ;    
Iteration 9: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 1700001273707 ;    
Iteration 10: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 36 ;    value_best_iteration = 1670001178036 ;    
Iteration 11: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 1690001246064 ;    
Iteration 12: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1730001202794 ;    
Iteration 13: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 1600001242243 ;    
Iteration 14: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 37 ;    value_best_iteration = 1690001260242 ;    
Iteration 15: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1900000961647 ;    
Iteration 16: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 1 ;    value_best_iteration = 1730001144357 ;    
Iteration 17: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 1730001132678 ;    
Iteration 18: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 1650001112190 ;    
Iteration 19: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 3 ;    value_best_iteration = 1720001198847 ;    
Iteration 20: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1770001075275 ;    
Iteration 21: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 39 ;    value_best_iteration = 1700001392688 ;    
Iteration 22: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 24 ;    value_best_iteration = 1700001266220 ;    
Iteration 23: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 21 ;    value_best_iteration = 1680001212464 ;    
Iteration 24: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 1730001243335 ;    
Iteration 25: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1890000936832 ;    
Iteration 26: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 1700001075625 ;    
Iteration 27: value_global_best = 4001125 ;    number_particle_minimum_personal_best = 26 ;    value_minimum_personal_best = 4001125 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1910001038380 ;    
